鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路三段31~60號,22.32,商,,,1090515,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090227,191.38,3,2,2,有,有,32680000,205915,坡道平面,45.3,2600000,,RPURMLRJPHPFFBA09CA
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路三段31~60號,23.16,商,,,1090515,土地1建物1車位2,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090227,236.67000000000002,3,2,2,有,有,36320000,211679,坡道平面,90.6,5400000,,RPVRMLRJPHPFFBA56CA
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路三段31~60號,22.32,商,,,1090515,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090227,191.38,3,2,2,有,有,34500000,219058,坡道平面,45.3,2500000,,RPOSMLRJPHPFFBA58CA
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路三段31~60號,22.32,商,,,1090515,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090227,191.38,3,2,2,有,有,34750000,220769,坡道平面,45.3,2500000,,RPQSMLRJPHPFFBA78CA
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路三段31~60號,23.16,商,,,1090515,土地1建物1車位2,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090227,236.67000000000002,3,2,2,有,有,37750000,217362,坡道平面,90.6,6000000,,RPRSMLRJPHPFFBA88CA
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路三段31~60號,22.32,商,,,1090515,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090227,191.38,3,2,2,有,有,36930000,232955,坡道平面,45.3,2900000,,RPTSMLRJPHPFFBA09CA
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路三段31~60號,27.24,商,,,1090515,土地1建物1車位2,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090227,263.66999999999996,4,2,2,有,有,41930000,212226,坡道平面,90.6,5200000,,RPWSMLRJPHPFFBA76CA
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路三段31~60號,27.24,商,,,1090515,土地1建物1車位2,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090227,263.66999999999996,4,2,2,有,有,42300000,214364,坡道平面,90.6,5200000,,RPXSMLRJPHPFFBA86CA
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路三段31~60號,27.24,商,,,1090515,土地1建物1車位2,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090227,263.66999999999996,4,2,2,有,有,42350000,214653,坡道平面,90.6,5200000,,RPOTMLRJPHPFFBA68CA
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路三段31~60號,27.24,商,,,1090515,土地1建物1車位2,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090227,263.66999999999996,4,2,2,有,有,47980000,242561,坡道平面,90.6,6000000,,RPPTMLRJPHPFFBA78CA
