鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中正區,建物,臺北市中正區信陽街1~30號,0.0,,,,1090417,土地0建物1車位0,二層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0670112,81.67,5,1,5,有,無,7900000,96731,,0.0,0,含增建或未登記建物。;土地所有權人為財團法人台灣省私立台北仁濟院,RPWOMLMJOHPFFBA38CA
萬華區,房地(土地+建物),臺北市萬華區中華路一段61~90號,2.49,商,,,1090430,土地1建物1車位0,十一層,十四層,辦公商業大樓,住家用,鋼筋混凝土造,0870604,27.990000000000002,0,0,0,無,有,5800000,207143,,0.0,0,,RPSNMLNJOHPFFBA97CA
中山區,房地(土地+建物),臺北市中山區新生北路二段61~90號,2.05,商,,,1090514,土地1建物1車位0,三層,十二層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0690721,25.02,0,0,0,無,有,4150000,165867,,0.0,0,,RPRNMLNJOHPFFCA97CA
中山區,房地(土地+建物),臺北市中山區北安路458巷1~30號,20.5,商,,,1090402,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660425,71.68,1,1,1,有,無,12000000,167411,,0.0,0,含增建或未登記建物。;,RPROMLNJOHPFFCA08CA
信義區,房地(土地+建物)+車位,臺北市信義區松勤街1~30號,12.73,其他,,,1090502,土地1建物1車位1,七層,十九層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0961225,134.3,2,2,1,有,有,43500000,323902,坡道平面,0.0,0,,RPOQMLSJOHPFFDA58CA
南港區,房地(土地+建物),臺北市南港區興中路74巷1~30號,12.25,商,,,1090401,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,64.13,2,1,1,有,無,10700000,166849,,0.0,0,,RPUNMLSJOHPFFDA88CA
信義區,土地,福德段一小段421~450地號,5.51,其他,,,1090527,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,114638,20805,,0.0,0,,RPXNMLSJOHPFFDA56CA
松山區,房地(土地+建物),臺北市松山區南京東路五段31~60號,12.46,其他,,,1090423,土地1建物1車位0,四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790216,150.38,3,2,2,有,有,29850000,198497,,0.0,0,含增建或未登記建物。;,RPSOMLSJOHPFFDA78CA
南港區,房地(土地+建物),臺北市南港區玉成街166巷1~30號,29.67,住,,,1090429,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690621,98.92,3,2,2,有,無,16080000,162556,,0.0,0,含增建或未登記建物。;,RPVOMLSJOHPFFDA09CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路三段331~360號,80.78,住,,,1090411,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050107,159.48000000000002,2,1,1,有,有,21200000,132932,坡道平面,33.15,0,,RPRQMLLJPHPFFCA18CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段82巷62弄1~30號,38.18,住,,,1090517,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041027,261.86,3,2,2,有,有,40380000,154205,坡道平面,44.83,0,,RPRNMLSJOHPFFEA68CA
士林區,房地(土地+建物),臺北市士林區美德街91~120號,27.6,商,,,1090502,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711124,95.8,2,1,2,有,無,13800000,144050,,0.0,0,含增建或未登記建物。;,RPUNMLSJOHPFFEA98CA
北投區,房地(土地+建物)+車位,臺北市北投區裕民六路121~150號,18.87,商,,,1090510,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040305,224.95,4,2,2,有,有,50500000,224494,坡道平面,34.86,0,含增建或未登記建物。;,RPVNMLSJOHPFFEA09CA
士林區,房地(土地+建物),臺北市士林區士東路2巷1~30號,29.75,住,,,1090504,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640306,72.79,2,2,1,有,無,13000000,178596,,0.0,0,含增建或未登記建物。;,RPOOMLSJOHPFFEA48CA
北投區,房地(土地+建物),臺北市北投區文林北路80巷59弄1~30號,31.91,住,,,1090515,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0660701,121.8,3,2,2,有,無,8500000,69787,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQOMLSJOHPFFEA68CA
士林區,土地,溪洲段二小段181~210地號,66.17,住,,,1090423,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3401700,51408,,0.0,0,,RPPNMLSJOHPFFEA48CA
信義區,房地(土地+建物),臺北市信義區信義路五段150巷335弄1~30號,30.25,住,,,1090414,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0580120,85.5,3,2,1,有,無,12700000,148538,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQQMLOLOHPFFDA58CA
士林區,房地(土地+建物),臺北市士林區重慶北路四段211~240號,22.95,住,,,1090504,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740402,164.49,3,2,2,有,有,15300000,93015,,0.0,0,含增建或未登記建物。;,RPWOMLTJOHPFFEA76CA
松山區,房地(土地+建物),臺北市松山區新中街6巷1~30號,25.41,住,,,1090228,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,44.83,2,2,2,有,無,7000000,156145,,0.0,0,親友、員工或其他特殊關係間之交易。;二親等房屋土地持分買賣。,RPUOMLTKOHPFFDA56CA
松山區,房地(土地+建物),臺北市松山區三民路107巷31~60號,45.0,住,,,1090417,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610117,91.54,3,2,2,有,無,18000000,196635,,0.0,0,含增建或未登記建物。;,RPPPMLMLOHPFFDA18CA
南港區,土地,南港段二小段451~480地號,1.74,住,,,1090516,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,574713,,0.0,0,,RPPNMLLKOHPFFDA77CA
北投區,房地(土地+建物),臺北市北投區尊賢街218巷25弄1~30號,23.12,住,,,1090517,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630821,44.32,3,1,1,有,無,5350000,120713,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRQMLLKOHPFFEA38CA
北投區,房地(土地+建物)+車位,臺北市北投區文林北路75巷61~90號,47.54,其他,,,1090302,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061117,191.86,3,2,2,有,有,23380000,121860,坡道平面,43.74,0,,RPVOMLKKOHPFFEA48CA
北投區,土地,新洲美段31~60地號,5740.02,其他,,,1090320,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2708721600,471901,,0.0,0,,RPPOMLMKOHPFFEA08CA
士林區,房地(土地+建物),臺北市士林區葫蘆街30巷41弄1~30號,10.03,住,,,1090410,土地2建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0600123,50.06,2,1,1,有,無,3000000,59928,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUOMLMKOHPFFEA58CA
士林區,房地(土地+建物)+車位,臺北市士林區環河北路三段121~150號,15.34,住,,,1090518,土地2建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930518,139.44,3,2,2,有,有,17500000,125502,坡道平面,26.4,0,,RPVOMLTKOHPFFEA76CA
士林區,土地,芝蘭段二小段481~510地號,606.68,其他,,,1090417,土地13建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,494,,0.0,0,,RPROMLRKOHPFFEA78CA
士林區,房地(土地+建物)+車位,臺北市士林區福華路1~30號,18.29,住,,,1090525,土地1建物1車位1,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070709,143.59,3,2,2,有,有,29750000,207187,升降平面,25.19,0,,RPWPMLTLOHPFFEA07CA
大安區,房地(土地+建物),臺北市大安區光復南路346巷1~30號,24.98,其他,,,1090506,土地3建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0691218,131.0,3,2,2,有,有,30520000,232977,,0.0,0,,RPPNMLTJOHPFFFA68CA
大安區,房地(土地+建物),臺北市大安區四維路61~90號,24.8,住,,,1090422,土地3建物1車位0,二層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0651021,91.32,3,2,1,有,無,12700000,139071,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRNMLRJOHPFFFA68CA
大安區,土地,通化段三小段451~480地號,7.38,其他,,,1090527,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,318978,43222,,0.0,0,,RPRNMLSJOHPFFFA78CA
大安區,房地(土地+建物),臺北市大安區大安路二段27巷1~30號,29.49,住,,,1090509,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701102,180.14999999999998,4,2,2,有,有,39680000,220261,,0.0,0,含增建或未登記建物。;,RPTNMLSJOHPFFFA98CA
大安區,房地(土地+建物),臺北市大安區信義路三段151~180號,6.59,商,,,1090510,土地1建物2車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970903,78.87,3,1,2,有,有,24880000,315456,,0.0,0,含增建或未登記建物。;,RPWNMLSJOHPFFFA66CA
大安區,房地(土地+建物),臺北市大安區仁愛路四段122巷61~90號,11.12,商,,,1090517,土地2建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720816,116.07000000000001,2,2,2,有,無,34500000,297234,,0.0,0,,RPXOMLQKOHPFFFA76CA
大安區,房地(土地+建物),臺北市大安區四維路44巷1~30號,83.0,住,,,1090330,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0571029,193.89,4,2,1,有,無,47000000,242405,,0.0,0,,RPTNMLSLOHPFFFA56CA
大安區,房地(土地+建物),臺北市大安區和平東路二段265巷25弄1~30號,21.91,住,,,1090322,土地1建物1車位0,十一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740522,113.33,3,2,1,有,有,22800000,201182,,0.0,0,含增建或未登記建物。;,RPUNMLLKOHPFFFA48CA
中正區,房地(土地+建物),臺北市中正區南昌路一段74巷1~30號,19.0,住,,,1090426,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671027,64.37,2,2,1,有,無,13500000,209725,,0.0,0,含增建或未登記建物。,RPSQMLQKOHPFFAA68DA
文山區,房地(土地+建物),臺北市文山區下崙路28巷1~30號,16.96,住,,,1080516,土地1建物1車位0,六層,七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1051129,65.28999999999999,1,1,1,有,有,10660000,163272,,0.0,0,,RPRPMLMJPHPFFAA97CA
中正區,房地(土地+建物)+車位,臺北市中正區?m門街61~90號,16.56,商,,,1090428,土地2建物1車位2,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071023,206.94,3,2,2,有,有,37800000,237784,坡道平面,69.42,5100000,,RPUOMLNJPHPFFAA28CA
文山區,房地(土地+建物),臺北市文山區秀明路一段181~210號,9.51,住,,,1090429,土地1建物1車位0,一層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980513,70.61,1,1,1,有,有,12850000,181986,,0.0,0,含增建或未登記建物。;增建1房1廳1衛,RPTNMLTKOHPFFAA68CA
文山區,房地(土地+建物),臺北市文山區興隆路三段304巷91~120號,19.47,住,,,1090524,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1081016,71.96,2,1,1,有,有,12900000,179266,,0.0,0,,RPXPMLQKOHPFFAA98CA
文山區,土地,萬隆段一小段211~240地號,11.88,商,,,1090511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7800000,656566,,0.0,0,,RPSNMLSKOHPFFAA48CA
文山區,房地(土地+建物),臺北市文山區景興路181~210號,1.86,商,,,1090518,土地1建物2車位0,十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,見使用執照,0850104,22.66,1,0,1,有,有,936582,41332,,0.0,0,親友、員工或其他特殊關係間之交易。;本案為三親等買賣,買方以低於市場行情取得本買賣標的.買方同意應負責出賣人之終老照護.,RPTNMLSKOHPFFAA58CA
中正區,房地(土地+建物),臺北市中正區羅斯福路三段316巷1~30號,9.49,商,,,1090515,土地1建物1車位0,八層,十層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1010626,43.97,1,1,1,有,有,12160000,276552,,0.0,0,,RPTOMLSKOHPFFAA68CA
文山區,房地(土地+建物),臺北市文山區木柵路二段109巷100弄31~60號,40.1,住,,,1090508,土地2建物1車位0,六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850925,73.31,1,2,1,有,有,9850000,134361,,0.0,0,含增建或未登記建物。;,RPUPMLLKOHPFFAA18CA
文山區,房地(土地+建物),臺北市文山區興隆路二段203巷91~120號,19.69,住,,,1090512,土地1建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860623,82.91,2,2,1,有,有,12500000,150766,,0.0,0,,RPVOMLMKOHPFFAA28CA
中正區,房地(土地+建物)+車位,臺北市中正區汀州路三段31~60號,6.46,住,,,1090425,土地3建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871231,42.58,2,1,1,有,有,9200000,216064,塔式車位,0.0,0,含增建或未登記建物。;,RPQNMLKKOHPFFAA47CA
文山區,房地(土地+建物),臺北市文山區木柵路四段121~150號,39.22,其他,,,1090509,土地2建物1車位0,四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000214,129.64,3,2,2,有,有,22300000,172015,,0.0,0,,RPTNMLKKOHPFFAA77CA
